task,method,feature,target,pearson_r,n
mrpc,fedavg,early_cos_mean,final_acc,-0.48123723124465284,14
mrpc,fedavg,early_cos_mean,final_f1,-0.5325048474620188,10
mrpc,fedavg,early_neg_cos_frac,final_acc,0.5246294823438044,14
mrpc,fedavg,early_neg_cos_frac,final_f1,0.4342217248696158,10
mrpc,fedavg,early_align_mean,final_acc,-0.12297907668190629,14
mrpc,fedavg,early_align_mean,final_f1,-0.18388190712676186,10
mrpc,fedavg,early_cos_min,final_acc,-0.5614933236924727,14
mrpc,fedavg,early_cos_min,final_f1,-0.5611537944671449,10
mrpc,fedgeo,early_cos_mean,final_acc,-0.5652894094937525,12
mrpc,fedgeo,early_cos_mean,final_f1,-0.5322554977619782,10
mrpc,fedgeo,early_neg_cos_frac,final_acc,0.5766214394882483,12
mrpc,fedgeo,early_neg_cos_frac,final_f1,0.42441492481865467,10
mrpc,fedgeo,early_align_mean,final_acc,-0.10096082970630069,12
mrpc,fedgeo,early_align_mean,final_f1,-0.19286125334561482,10
mrpc,fedgeo,early_cos_min,final_acc,-0.631871055291117,12
mrpc,fedgeo,early_cos_min,final_f1,-0.5518066259576496,10
sst2,fedavg,early_cos_mean,final_acc,0.12690584827001306,12
sst2,fedavg,early_neg_cos_frac,final_acc,,12
sst2,fedavg,early_align_mean,final_acc,0.589856745134675,12
sst2,fedavg,early_cos_min,final_acc,-0.38364166702936153,12
sst2,fedgeo,early_cos_mean,final_acc,0.2259383787296699,16
sst2,fedgeo,early_neg_cos_frac,final_acc,,16
sst2,fedgeo,early_align_mean,final_acc,0.40974663680740636,16
sst2,fedgeo,early_cos_min,final_acc,-0.30214732106241116,16
