task,method,dr,seed
mrpc,fedavg,0.7,0
mrpc,fedavg,0.7,1
mrpc,fedavg,0.7,2
mrpc,fedavg,0.7,3
mrpc,fedavg,0.7,4
mrpc,fedavg,0.7,5
mrpc,fedavg,0.7,6
mrpc,fedavg,0.7,7
mrpc,fedavg,0.7,8
mrpc,fedavg,0.7,9
mrpc,fedavg,0.9,0
mrpc,fedavg,0.9,1
mrpc,fedavg,0.9,2
mrpc,fedavg,0.9,3
mrpc,fedavg,0.9,4
mrpc,fedavg,0.9,5
mrpc,fedavg,0.9,6
mrpc,fedavg,0.9,7
mrpc,fedavg,0.9,8
mrpc,fedavg,0.9,9
mrpc,fedgeo_v5b,0.7,0
mrpc,fedgeo_v5b,0.7,1
mrpc,fedgeo_v5b,0.7,2
mrpc,fedgeo_v5b,0.7,3
mrpc,fedgeo_v5b,0.7,4
mrpc,fedgeo_v5b,0.7,5
mrpc,fedgeo_v5b,0.7,6
mrpc,fedgeo_v5b,0.7,7
mrpc,fedgeo_v5b,0.7,8
mrpc,fedgeo_v5b,0.7,9
mrpc,fedgeo_v5b,0.9,0
mrpc,fedgeo_v5b,0.9,1
mrpc,fedgeo_v5b,0.9,2
mrpc,fedgeo_v5b,0.9,3
mrpc,fedgeo_v5b,0.9,4
mrpc,fedgeo_v5b,0.9,5
mrpc,fedgeo_v5b,0.9,6
mrpc,fedgeo_v5b,0.9,7
mrpc,fedgeo_v5b,0.9,8
mrpc,fedgeo_v5b,0.9,9
