group_type,group,feature,target,pearson_r,n
method,fedavg,early_cos_mean,final_acc,0.38753413594722935,29
method,fedavg,early_cos_mean,final_f1,-0.5325048474620188,10
method,fedavg,early_neg_cos_frac,final_acc,-0.3882533332358837,29
method,fedavg,early_neg_cos_frac,final_f1,0.4342217248696158,10
method,fedavg,early_align_mean,final_acc,0.26496015594362854,29
method,fedavg,early_align_mean,final_f1,-0.18388190712676186,10
method,fedavg,early_cos_min,final_acc,0.16793583285513625,29
method,fedavg,early_cos_min,final_f1,-0.5611537944671449,10
method,fedgeo,early_cos_mean,final_acc,0.42093083325202757,50
method,fedgeo,early_cos_mean,final_f1,-0.5322554977619782,10
method,fedgeo,early_neg_cos_frac,final_acc,-0.4508078233103421,50
method,fedgeo,early_neg_cos_frac,final_f1,0.42441492481865467,10
method,fedgeo,early_align_mean,final_acc,0.3685067182202772,50
method,fedgeo,early_align_mean,final_f1,-0.19286125334561482,10
method,fedgeo,early_cos_min,final_acc,0.2812239465871485,50
method,fedgeo,early_cos_min,final_f1,-0.5518066259576496,10
method,fedprox,early_cos_mean,final_acc,0.7998454642613613,3
method,fedprox,early_neg_cos_frac,final_acc,-0.7129287233382742,3
method,fedprox,early_align_mean,final_acc,0.8245611086289913,3
method,fedprox,early_cos_min,final_acc,0.8141041029176012,3
